tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
72637474,2,2260805780286092032,candidate,478,9300726374742220000,9200726374742220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
79353860,0,6191268135405788544,not_detected,5,9300793538600220000,9200793538600220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
79353860,1,4322122179512445568,confirmed,69,9300793538601220000,9200793538601220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
79353860,2,2260805780286092032,candidate,478,9300793538602220000,9200793538602220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
81848974,0,3690323316193465344,not_detected,8,9300818489740220000,9200818489740220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
81848974,1,3238056353617774336,not_detected,62,9300818489741220000,9200818489741220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
81848974,2,1510467090935595008,confirmed,391,9300818489742220000,9200818489742220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
88046487,0,4009851428268802944,not_detected,10,9300880464870220000,9200880464870220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
88046487,1,2667317799127474944,confirmed,62,9300880464871220000,9200880464871220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
88046487,2,4002914643768684288,not_detected,420,9300880464872220000,9200880464872220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
94748632,0,6617454235493798272,not_detected,6,9300947486320220000,9200947486320220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
94748632,1,3238056353617774336,not_detected,62,9300947486321220000,9200947486321220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
94748632,2,2240031951187372928,confirmed,442,9300947486322220000,9200947486322220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
103700861,0,3118034111008915712,not_detected,10,9301037008610220000,9201037008610220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
103700861,1,3277341526122556160,not_detected,58,9301037008611220000,9201037008611220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
103700861,2,4517992170175866368,confirmed,369,9301037008612220000,9201037008612220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
114058447,0,6617454235493798272,not_detected,6,9301140584470220000,9201140584470220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
114058447,1,4309653752005719424,confirmed,65,9301140584471220000,9201140584471220000,candidate,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
