tic,period_s,published_amp_ppt,recovered_amp_ppt,amp_ratio,snr,spoc_snr4_limit_ppt,paper_fap_ppt,marginal_vs_paper_fap,marginal_vs_spoc_limit
149863849,379.89,3.3,3.3421291080859707,1.0127663963896882,10.43204745297949,1.281485393217389,1.49,False,False
149863849,389.68,2.39,2.3976933272786365,1.0032189653885508,7.484106615554364,1.281485393217389,1.49,False,False
149863849,398.96,10.3,12.14947936675504,1.1795611035684503,37.92311463262702,1.281485393217389,1.49,False,False
149863849,487.35,1.94,1.7602612910812916,0.907351180969738,5.4944404373173645,1.281485393217389,1.49,True,False
149863849,491.21,4.09,4.17906370508425,1.021775967013264,13.044436486605571,1.281485393217389,1.49,False,False
149863849,568.09,1.96,1.8434387649644015,0.9405299821246946,5.754068754029672,1.281485393217389,1.49,True,False
149863849,660.62,2.43,2.022052329704335,0.8321203002898497,6.311589161785529,1.281485393217389,1.49,False,False
149863849,750.1,4.59,4.419486795986685,0.9628511538097352,13.794887774384394,1.281485393217389,1.49,False,False
149863849,756.19,2.8,2.3573274162017372,0.8419026486434776,7.358109358650626,1.281485393217389,1.49,False,False
149863849,759.78,9.91,10.297903199147095,1.0391426033448128,32.1436459710007,1.281485393217389,1.49,False,False
149863849,763.4,3.48,3.3926621736509515,0.9749029234629171,10.589780239735985,1.281485393217389,1.49,False,False
149863849,769.67,1.99,2.1739200324532293,1.0924221268609193,6.785625630878958,1.281485393217389,1.49,True,False
149863849,789.27,3.27,3.4694453106236054,1.0609924497319894,10.829449415456752,1.281485393217389,1.49,False,False
149863849,796.04,1.53,1.0879232118626054,0.7110609227860166,3.3958193128715646,1.281485393217389,1.49,True,True
149863849,800.0,3.14,3.074585950793444,0.9791675002526891,9.596944193251138,1.281485393217389,1.49,False,False
149863849,804.01,1.51,0.9883975896021678,0.654567940133886,3.0851622494755904,1.281485393217389,1.49,True,True
149863849,811.0,1.58,1.4596355039749433,0.9238199392246477,4.556073792804701,1.281485393217389,1.49,True,True
149863849,835.84,2.08,1.9268490253681863,0.9263697237347049,6.014423685409323,1.281485393217389,1.49,True,False
461203226,259.91,10.29,9.955995734546503,0.9675408877110305,14.594387135019096,2.728719100689658,3.73,False,False
461203226,297.78,4.39,4.313094470220449,0.9824816560866627,6.322518824499531,2.728719100689658,3.73,True,False
685410570,556.66,7.41,7.385295689465191,0.996666084948069,4.813443424721811,6.137224467236378,7.36,True,True
685410570,812.91,9.05,9.05987204285113,1.001090833464213,5.904866013108908,6.137224467236378,7.36,True,True
685410570,965.5,10.23,10.230891526495173,1.0000871482399973,6.668090164283786,6.137224467236378,7.36,True,False
800126377,325.05,10.18,2.241029215998226,0.22014039449884343,1.4301414576316167,6.267993152815746,8.14,True,False
800126377,326.31,9.26,8.11998570651735,0.8768883052394546,5.181872735690299,6.267993152815746,8.14,True,True
317153172,395.94,3.89,3.0658604726896415,0.7881389389947664,4.734928867546792,2.5899949574347803,3.81,True,False
317153172,465.78,4.98,2.670539811788067,0.5362529742546319,4.124393839643705,2.5899949574347803,3.81,True,False
317153172,512.05,10.01,7.088704223000626,0.7081622600400226,10.947827064530692,2.5899949574347803,3.81,False,False
317153172,668.39,4.63,0.3744717804210945,0.08087943421621913,0.5783359220003798,2.5899949574347803,3.81,True,False
317153172,786.89,6.59,2.447728796149411,0.37143077331554036,3.780283493020736,2.5899949574347803,3.81,False,False
