campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,template_wg_contrasts,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200056241841310000,B,ladder_g3r1,5624184,323342459647016448,confirmed,1,447,1.0,75,2.1,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,587b1b1cee07a4a0ddb52aafb0a7f5768265751fa1c57178f4253adceda710c6
9200056241841320000,B,ladder_g3r2,5624184,323342459647016448,confirmed,1,447,1.0,75,2.1,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,0d9eb959a5c7f3b5c94467ff70cfb0181fba78ad50e60df26e4a6be4eb6501b5
9200056241841330000,B,ladder_g3r3,5624184,323342459647016448,confirmed,1,447,1.0,75,2.1,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,a7956940a3769aae9bcdd0d42aed955fb590243ab46b7447c5bd422059fe2642
9200056241841221000,B,phase_1,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,1,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,9c5ab40abd2c50268a49b8746b4c419bff570a245711b652d15bf4486a3a51ed
9200056241841222000,B,phase_2,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,2,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,5677ee228be0086e35c9c886bd8d87f9531c05d2abd00e3a85b418f7fdfcc57f
9200056241841220100,B,ampscale_0.7,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,0,0.7,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,997d2878519ecf02991bea8d3b7cee33f53e3c747a1e876fca38701e8c7d43a8
9200056241841220200,B,ampscale_1.3,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,0,1.3,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,121ba34b3bd1333aadcaec356481532705178c56bf2ca9712495a275e8add151
9200056241841220300,B,dropout,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,0,1.0,True,503.99,,0,20.0,1,tol_0.25,9500000000000000447,-1,2,0,556da0335b2d49eeea49d585378434929f5f3144f5032832e9463106c679494a
9200076758590220000,B,nominal,7675859,1747832062024486912,confirmed,0,128,1.0,6,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000128,-1,6,0,c4e59cc01ef238447dd7c97fb74d6ee9c4f5753472f914b95470930e54fe93ad
9300076758590220000,A,nominal,7675859,1747832062024486912,confirmed,0,128,1.0,6,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,142c3add555b68166c50eed8ba6955431e5ced8e1a2f7b7f60be940a80e9140d
9200076758591220000,B,nominal,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000778,-1,6,0,c70be493c5ce02917b72e443fd6e0581b618087302fad43848d11d2d5b99b0ac
9300076758591220000,A,nominal,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,d8fc80361f216eee6fd3332e376b214be830e1f6cc0eb5e67ee7f94cb5841794
