,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgc_init_artist_effect[356],1.0000,23943,9177,0.0000,Pass
ztfgc_init_artist_effect[357],1.0000,25836,8493,0.0000,Pass
ztfgc_init_artist_effect[358],1.0000,29497,8241,0.0000,Pass
ztfgc_init_artist_effect[359],1.0000,29401,8758,0.0000,Pass
ztfgc_init_artist_effect[360],1.0000,28538,8073,0.0000,Pass
ztfgc_init_artist_effect[361],1.0000,25384,7843,0.0000,Pass
ztfgc_init_artist_effect[362],1.0000,26212,8159,0.0000,Pass
ztfgc_init_artist_effect[363],1.0000,27623,9313,0.0000,Pass
ztfgc_init_artist_effect[364],1.0000,27253,9479,0.0000,Pass
ztfgc_init_artist_effect[365],1.0000,28740,8858,0.0000,Pass
ztfgc_init_artist_effect[366],1.0000,23756,8988,0.0000,Pass
ztfgc_init_artist_effect[367],1.0000,26439,8421,0.0000,Pass
ztfgc_init_artist_effect[368],1.0000,25518,8614,0.0000,Pass
ztfgc_init_artist_effect[369],1.0000,26233,8332,0.0000,Pass
ztfgc_init_artist_effect[370],1.0000,25539,8128,0.0000,Pass
ztfgc_init_artist_effect[371],1.0000,28161,8559,0.0000,Pass
ztfgc_init_artist_effect[372],1.0000,26992,7589,0.0000,Pass
ztfgc_init_artist_effect[373],1.0000,27326,8751,0.0000,Pass
ztfgc_init_artist_effect[374],1.0000,26020,8119,0.0000,Pass
ztfgc_init_artist_effect[375],1.0000,27740,8727,0.0000,Pass
ztfgc_init_artist_effect[376],1.0000,27309,8979,0.0000,Pass
ztfgc_init_artist_effect[377],1.0000,25663,8279,0.0000,Pass
